Account Number,Account Name,sku,category,quantity,unit price,ext price,date
803666,Fritsch-Glover,HX-24728,Belt,1,98.98,98.98,2014-09-28 11:56:02
064898,O'Conner Inc,LK-02338,Shirt,9,34.80,313.20,2014-04-24 16:51:22
423621,Beatty and Sons,ZC-07383,Shirt,12,60.24,722.88,2014-09-17 17:26:22
137865,"Gleason, Bogisich and Franecki",QS-76400,Shirt,5,15.25,76.25,2014-01-30 07:34:02
435433,Morissette-Heathcote,RU-25060,Shirt,19,51.83,984.77,2014-08-24 06:18:12
198887,Shanahan-Bartoletti,FT-50146,Shirt,4,18.51,74.04,2014-09-05 07:24:23
969663,"Gusikowski, Reichert and Gerlach",AE-95093,Shoes,4,49.95,199.80,2014-04-28 21:51:24
001288,"Wilderman, Herman and Breitenberg",FT-50146,Shirt,14,68.20,954.80,2013-12-04 13:53:26
979589,Brown Inc,HX-24728,Belt,16,52.99,847.84,2014-02-07 14:53:59
839884,"Turcotte, Turner and Anderson",FT-50146,Shirt,8,21.35,170.80,2014-09-03 16:06:44
091059,"Armstrong, Champlin and Ratke",FT-50146,Shirt,17,34.61,588.37,2014-04-06 20:52:15
151300,"Upton, Runolfsson and O'Reilly",HX-24728,Belt,3,75.10,225.30,2014-08-03 07:55:47
185412,"Goyette, Kessler and Goodwin",AE-95093,Shoes,10,10.93,109.30,2014-07-11 17:20:23
357988,Dietrich-Krajcik,QS-76400,Shirt,15,11.15,167.25,2014-02-21 08:57:47
269278,Luettgen-Ritchie,QS-76400,Shirt,11,91.95,1011.45,2014-09-03 02:15:19
823639,Reilly-Leannon,LK-02338,Shirt,11,72.65,799.15,2014-05-27 12:36:40
400974,"Schimmel, Schaefer and Treutel",AE-95093,Shoes,19,53.69,1020.11,2014-09-16 10:28:24
780068,Stroman-Adams,AE-95093,Shoes,9,86.56,779.04,2014-06-23 04:56:51
566220,Collier Group,QS-76400,Shirt,6,90.08,540.48,2014-04-02 21:57:58
169443,Larson-Huels,LK-02338,Shirt,1,31.00,31.00,2014-05-02 23:52:12
371496,Dare-Aufderhar,LK-02338,Shirt,16,35.46,567.36,2014-02-26 13:21:02
005971,Rogahn-Towne,AE-95093,Shoes,5,69.25,346.25,2013-11-07 18:50:14
841645,"Murray, Herzog and Treutel",ZC-07383,Shirt,16,63.20,1011.20,2014-08-22 19:22:19
172430,"Legros, Stoltenberg and O'Keefe",XX-25746,Belt,7,12.57,87.99,2014-06-11 02:23:31
050523,"Stamm, Oberbrunner and Hills",QS-76400,Shirt,6,19.61,117.66,2014-07-07 06:48:28
816921,"Rolfson, Nolan and Mann",XX-25746,Belt,13,95.29,1238.77,2013-11-17 08:40:48
190550,"Marvin, Johnson and McDermott",GS-95639,Shoes,20,59.44,1188.80,2014-08-01 13:55:31
789704,"Sporer, Hickle and Steuber",LK-02338,Shirt,3,97.60,292.80,2013-11-05 22:11:25
300064,"Streich, Hermiston and Walsh",RU-25060,Shirt,15,31.37,470.55,2013-12-17 03:31:02
558324,O'Keefe-Kuhlman,LK-02338,Shirt,20,58.62,1172.40,2013-12-28 01:49:48
659158,Swift-Okuneva,AE-95093,Shoes,15,21.53,322.95,2014-07-20 19:23:56
881248,Runolfsdottir-VonRueden,XX-25746,Belt,4,52.43,209.72,2014-04-04 14:33:21
313152,Wehner-Cruickshank,RU-25060,Shirt,19,29.50,560.50,2013-10-12 09:09:43
091059,"Armstrong, Champlin and Ratke",XX-25746,Belt,7,83.90,587.30,2014-07-14 03:51:45
624633,"Emmerich, Torp and Carter",QS-76400,Shirt,4,15.71,62.84,2013-11-03 12:23:33
653729,Emmerich-Gerlach,RU-25060,Shirt,20,81.31,1626.20,2014-09-17 10:59:41
438999,Kozey Ltd,XX-25746,Belt,4,28.84,115.36,2014-05-17 21:33:06
686172,Feeney-Kessler,QS-76400,Shirt,11,56.56,622.16,2013-12-06 21:25:38
618390,"Purdy, Fay and Bechtelar",XX-25746,Belt,3,27.79,83.37,2014-02-19 04:24:51
143837,"Jast, Abshire and Jast",GS-95639,Shoes,16,99.07,1585.12,2013-10-13 09:29:49
049061,"Christiansen, Zulauf and Bosco",IC-59308,Shoes,5,35.82,179.10,2014-04-25 18:05:38
045241,O'Keefe LLC,HX-24728,Belt,7,87.78,614.46,2014-08-30 00:44:46
879335,Schowalter-Spinka,QS-76400,Shirt,11,77.89,856.79,2013-10-11 09:53:39
672858,Mayer LLC,HX-24728,Belt,15,35.66,534.90,2014-01-11 02:36:36
527078,Kuvalis-Roberts,RU-25060,Shirt,9,80.78,727.02,2014-03-30 01:33:30
824547,Langworth LLC,FT-50146,Shirt,15,63.80,957.00,2013-11-17 10:52:56
935584,Jast-Jast,FT-50146,Shirt,1,64.53,64.53,2014-08-28 01:58:39
973981,Kutch Inc,RU-25060,Shirt,10,63.78,637.80,2013-12-26 06:13:26
116357,Terry PLC,HX-24728,Belt,20,22.65,453.00,2013-11-06 04:14:49
212537,Wolff-Johnston,FT-50146,Shirt,20,73.16,1463.20,2013-12-26 06:35:13
304389,Dickinson-McGlynn,GS-95639,Shoes,4,65.46,261.84,2013-11-21 13:18:56
044460,Leuschke PLC,QS-76400,Shirt,20,53.27,1065.40,2014-06-01 05:37:59
484679,King and Sons,ZC-07383,Shirt,13,28.58,371.54,2014-04-08 06:16:06
